model,family,accuracy,balanced_accuracy,precision,recall,f1,auc_roc,auc_pr,mcc,false_alarm_rate,specificity,recall_at_1pct_fpr,training_time_sec,inference_time_per_1000_samples_sec,params,input_dim
hist_gradient_boosting,classical_baseline,0.969859801364366,0.978755453659244,0.9987070971745764,0.9613607135449076,0.979678113493107,0.998433361456643,0.9994994726057804,0.9239553549135816,0.0038498062264199,0.99615019377358,0.9701555693839452,12.559768438339232,0.0035938168509622,0,245
random_forest,classical_baseline,0.944296749598716,0.9625627363895616,0.9994005815253858,0.9268450528935904,0.9617563495479984,0.9959045640516214,0.9987154872827136,0.8681098863744254,0.0017195801144675,0.9982804198855324,0.9555859780128604,8.840375900268555,0.0014447623543907,0,245
ablation_no_reconstruction,neural_ablation,0.9620911918138042,0.956950517993118,0.982557306288306,0.9670026965359884,0.9747179500045998,0.994837953023612,0.998370059936486,0.8994620287496167,0.0531016605497523,0.9468983394502476,0.9376975731176104,257.10144567489624,0.01554535088962,445697,545
ablation_no_focal_loss,neural_ablation,0.9497078150080256,0.9642410731357084,0.9974707276521986,0.9358224434764572,0.9656636743849556,0.9946550181533418,0.9983177552078334,0.878290046670591,0.0073402972050406,0.9926597027949592,0.9383862269238749,250.00388860702515,0.0183480891905856,618786,545
trident_full,neural_ablation,0.9606992375601926,0.9567850700750712,0.983234789081466,0.9644389130885708,0.9737461570036776,0.994389094844516,0.9982321047962612,0.89630928905759,0.0508687729384287,0.9491312270615712,0.9363119684712716,247.83166670799253,0.0168130528271485,980898,545
mlp_tabular_baseline,neural_ablation,0.9589122692616372,0.9513040783515716,0.9791719220355516,0.9661812901887576,0.972633231851193,0.9939695187233276,0.9980983641549244,0.8905656333895432,0.0635731334856145,0.9364268665143854,0.9341879278158058,235.76675415039065,0.0150923543934072,292097,245
ablation_no_temporal_drift,neural_ablation,0.9578212780898876,0.9530919616892456,0.9814849290029956,0.9623397635345364,0.9718180637539328,0.9938700589807988,0.998068836504062,0.8887334509537492,0.0561558401560454,0.9438441598439544,0.9352084629744868,256.0875849723816,0.0176308063691538,618017,544
edge_tiny_deployment,neural_ablation,0.958717897271268,0.9489870633574292,0.9771438621764,0.9680149346608588,0.9725579766926192,0.9937579936582728,0.9980329318228668,0.8894379005214593,0.070040807946,0.929959192054,0.9355320472930928,242.1897170543671,0.0139673765192636,55553,545
