threshold,precision,recall,f1,false_alarm_rate,specificity
0.01,0.7518554398870316,0.9999781614090258,0.858345244511095,0.9471655541976121,0.05283444580238789
0.02,0.8290543354275679,0.9999781614090258,0.9065297981122831,0.5917395255554511,0.4082604744445489
0.03,0.8820855125648953,0.9999781614090258,0.9373394335779572,0.38362946946194104,0.616370530538059
0.04,0.8927829825399456,0.9999781614090258,0.9433451106830519,0.34464604681771177,0.6553539531822883
0.05,0.8983882201752063,0.9999781614090258,0.9464649283270807,0.32459026667920154,0.6754097333207985
0.060000000000000005,0.9017319981488593,0.9999781614090258,0.9483172828000415,0.3127448215348939,0.6872551784651061
0.06999999999999999,0.9035469389768634,0.9999781614090258,0.9493199817556081,0.3063520416157438,0.6936479583842562
0.08,0.9047788414989577,0.9999781614090258,0.9499994813224204,0.3020275140233775,0.6979724859766225
0.09,0.9056368670886076,0.9999672421135388,0.9504673042693084,0.29901914700260096,0.700980852997399
0.09999999999999999,0.9061835165596335,0.9999672421135388,0.9507682724252492,0.2971075804581492,0.7028924195418508
0.11,0.9067478588048913,0.9999563228180518,0.9510738617480891,0.2951333396007646,0.7048666603992354
0.12,0.9072239503873512,0.9999563228180518,0.9513356845675581,0.29347247030804424,0.7065275296919558
0.13,0.9076186606142899,0.9999454035225647,0.9515477093486009,0.2920936354235217,0.7079063645764784
0.14,0.9081406995309355,0.9999454035225647,0.951834528635277,0.2902760803484692,0.7097239196515308
0.15000000000000002,0.9086263692649627,0.9999344842270776,0.9520962753099577,0.28858387389928236,0.7114161261007176
0.16,0.9091396461688144,0.9999235649315906,0.9523730285429027,0.2867976559806963,0.7132023440193037
0.17,0.9097258096562686,0.9999126456361036,0.9526895927507659,0.2847607408103789,0.7152392591896212
0.18000000000000002,0.9103860339805343,0.9999126456361036,0.9530514966071354,0.28247312838833005,0.71752687161167
0.19,0.9109375777169858,0.9999017263406165,0.9533486720872851,0.28056156184387826,0.7194384381561217
0.2,0.9115179024696151,0.9999017263406165,0.9536663854781766,0.2785559838300273,0.7214440161699728
0.21000000000000002,0.912069961553019,0.9998798877496424,0.9539585058782472,0.2766444172855755,0.7233555827144245
0.22,0.9127829892436673,0.9998143719767201,0.9543185300217829,0.27416878192472816,0.7258312180752718
0.23,0.9136638959017294,0.9997816140902589,0.954784821214428,0.2711290777474852,0.7288709222525148
0.24000000000000002,0.9146910435086668,0.9997270176128236,0.9553204365700453,0.2675879790667795,0.7324120209332206
0.25,0.9157397775466112,0.9996833404308754,0.9558721424954452,0.26398420607314094,0.7360157939268591
0.26,0.9167718159786897,0.9996287439534401,0.9564090911465271,0.2604431073924352,0.7395568926075647
0.27,0.9180574500521543,0.9994867931121084,0.9570431555009541,0.25602456833066967,0.7439754316693303
0.28,0.9191515431509807,0.9993230036798025,0.9575621239863981,0.252264109554699,0.747735890445301
0.29000000000000004,0.9203959081444824,0.9991482949520097,0.9581566299123551,0.2480022562752656,0.7519977437247344
0.3,0.9219088499944581,0.9990391019971392,0.9589255020332872,0.24286296261477233,0.7571370373852276
0.31,0.9237372003312262,0.9988316353828851,0.9598178450948811,0.23665820563442072,0.7633417943655793
0.32,0.9256098795424638,0.9984712986318123,0.9606610250510844,0.23029676287173703,0.7697032371282629
0.33,0.9271216870036211,0.9980672846987912,0.9612872692853762,0.22515746921124377,0.7748425307887562
0.34,0.9288633590890606,0.997619593583822,0.9620145202984085,0.2192660837955564,0.7807339162044437
0.35000000000000003,0.9309757788289023,0.9972046603553139,0.9629528092494082,0.21218388643414496,0.787816113565855
0.36000000000000004,0.9336593250335028,0.9965822605125517,0.9640951968478985,0.2032214596847482,0.7967785403152517
0.37,0.9370190381276263,0.995850667714919,0.9655395104598967,0.19209676913916832,0.8079032308608317
0.38,0.9407877755407568,0.9949662047804676,0.9671188095692967,0.17971859233493154,0.8202814076650685
0.39,0.9445511057607489,0.9938305980498138,0.968564435458125,0.167434427000094,0.832565572999906
0.4,0.9485859840694846,0.9921927037267555,0.9698994513587943,0.15433549559712953,0.8456645044028704
0.41000000000000003,0.9526429636474368,0.9906421637675937,0.9712710435457538,0.1413305756635643,0.8586694243364357
0.42000000000000004,0.9572879994079525,0.988709448466385,0.9727450474839929,0.12660211212434583,0.8733978878756542
0.43,0.9609801231534952,0.9866675402103057,0.9736544367221593,0.11497602707530319,0.8850239729246968
0.44,0.9644320796105077,0.98416702154377,0.9741996152100132,0.10416470809438752,0.8958352919056125
0.45,0.9677530497324418,0.9814481169674932,0.9745524726496004,0.0938547836169346,0.9061452163830654
0.46,0.9716860414678581,0.978423472117579,0.975043118222822,0.08182131553382846,0.9181786844661716
0.47000000000000003,0.9753329182097248,0.9748856203797731,0.9751092179991263,0.07075929930118141,0.9292407006988186
0.48000000000000004,0.9786571956368755,0.9718500562343717,0.9752417477057937,0.060825420701325565,0.9391745792986744
0.49,0.980985020175778,0.968923685043841,0.9749170493748489,0.05389990912224625,0.9461000908777537
0.5,0.9833624342449148,0.9654950262609057,0.9743468247583995,0.04688038607376767,0.9531196139262323
0.51,0.9857280272017538,0.9623175112741726,0.9738821020294275,0.03998621165115478,0.9600137883488452
0.52,0.9878772884710539,0.9592164313558489,0.9733359186726129,0.03378145467080317,0.9662185453291968
0.53,0.9899669713148131,0.955667660322556,0.972514987026985,0.027796057785716526,0.9722039422142835
0.54,0.9919335570851584,0.9520096963343925,0.9715616572689385,0.022218043934693364,0.9777819560653066
0.55,0.993538795814512,0.9486683919153536,0.9705852781160278,0.017705493403528564,0.9822945065964714
0.56,0.9949233914501643,0.9458730522706675,0.9697783897854428,0.013851023158158629,0.9861489768418413
0.5700000000000001,0.9961588594234828,0.9429903582620849,0.9688457094135993,0.010435273103318606,0.9895647268966814
0.5800000000000001,0.9969676276894943,0.9405771939594457,0.9679518153521143,0.008210334994202626,0.9917896650057973
0.59,0.9975052505772735,0.9386881558401852,0.9672033392963626,0.006737488640280781,0.9932625113597192
0.6,0.9978721672499796,0.9370939386990751,0.96652851608253,0.0057346996333552695,0.9942653003666447
0.61,0.9983337799890473,0.9355652373308874,0.9659308696534463,0.0044812133746983795,0.9955187866253016
0.62,0.9984827795478683,0.9341784868040314,0.9652608538676776,0.004073830340634891,0.9959261696593651
0.63,0.9986674147846822,0.9328790906410719,0.9646528801043307,0.003572435837172135,0.9964275641628279
0.64,0.99884104797359,0.9316670488420087,0.9640853544855172,0.0031023784901758012,0.9968976215098242
0.65,0.9990035403624768,0.9305096035203808,0.9635408716496215,0.0026636582996458903,0.9973363417003541
0.66,0.9991313024593532,0.929352158198753,0.9629793059751309,0.0023189495785152455,0.9976810504214848
0.67,0.9992357257078356,0.9279544883764099,0.962276862802824,0.0020369151703174453,0.9979630848296825
0.68,0.9993166501720157,0.9261528046210459,0.9613446902078127,0.0018175550750524898,0.9981824449249476
0.6900000000000001,0.9994683741700731,0.9237833175003549,0.9601366419447644,0.0014101720409890007,0.998589827959011
0.7000000000000001,0.9995498750310942,0.9214029110841768,0.9588868308314679,0.001190811945724045,0.998809188054276
0.7100000000000001,0.9995962954167656,0.919251809873227,0.9577419923663688,0.001065463319858356,0.9989345366801416
0.72,0.9996312245723394,0.9175593190727335,0.9568385873618647,0.0009714518504590893,0.9990285481495409
0.73,0.9996303979779193,0.915506491521167,0.9557208401014505,0.0009714518504590893,0.9990285481495409
0.74,0.9996892368373872,0.9132789552418078,0.9545324857628705,0.0008147660681269782,0.999185233931873
0.75,0.9997245278047261,0.9114335943044954,0.9535396460925094,0.0007207545987277115,0.9992792454012723
0.76,0.9997479747974798,0.9096209912536443,0.9525573736750026,0.000658080285794867,0.9993419197142052
0.77,0.9997716016733182,0.9081468863628919,0.9517591792594796,0.0005954059728620225,0.999404594027138
0.78,0.9997954321195639,0.9072296655419793,0.9512660075679946,0.000532731659929178,0.9994672683400708
0.79,0.999807233560637,0.9061486552887608,0.9506767554687455,0.0005013945034627558,0.9994986054965372
0.8,0.9998310525426592,0.9046854696934954,0.949881625937964,0.0004387201905299113,0.9995612798094701
0.81,0.9998669826835639,0.9028619473471572,0.948891706880426,0.0003447087211306446,0.9996552912788693
0.8200000000000001,0.9998789111692338,0.901649905548094,0.9482272557632131,0.0003133715646642224,0.9996866284353357
0.8300000000000001,0.9998908654370839,0.9003832672715957,0.9475317153888583,0.0002820344081978001,0.9997179655918021
0.8400000000000001,0.9998907010917747,0.8990292746312007,0.9467813527747752,0.0002820344081978001,0.9997179655918021
0.85,0.9998905069528085,0.8974350574900908,0.9458964886234161,0.0002820344081978001,0.9997179655918021
0.86,0.999902532925596,0.8961574999181053,0.945191754002073,0.0002506972517313779,0.9997493027482687
0.87,0.9999145737228772,0.8946724757318658,0.9443704869095163,0.00021936009526495566,0.9997806399047351
0.88,0.9999144024065152,0.8928817112719887,0.9433718468611378,0.00021936009526495566,0.9997806399047351
0.89,0.9999142125323235,0.8909053187888317,0.9422674935615378,0.00021936009526495566,0.9997806399047351
0.9,0.9999262500614583,0.8882846878719385,0.9408050330467165,0.00018802293879853342,0.9998119770612015
0.91,0.9999381241724108,0.8823009139450323,0.9374434415388542,0.0001566857823321112,0.9998433142176679
0.92,0.9999501420950292,0.8759895611535143,0.9338742440733605,0.00012534862586568895,0.9998746513741343
0.93,0.999962374896531,0.8706063484783961,0.9308116627265564,9.401146939926671e-05,0.9999059885306008
0.9400000000000001,0.9999873730996515,0.8647536060973346,0.9274668134467756,3.133715646642224e-05,0.9999686628435336
0.9500000000000001,0.9999872153824518,0.8540854544064816,0.9212956419316843,3.133715646642224e-05,0.9999686628435336
0.9600000000000001,0.9999871054260367,0.8468022843166159,0.9170416181348406,3.133715646642224e-05,0.9999686628435336
0.97,0.9999867491751362,0.8240355532261059,0.9035247354053925,3.133715646642224e-05,0.9999686628435336
