model,epoch,train_loss,val_auc_pr,val_f1,epoch_time_sec
ablation_no_text,1,0.12182064683437348,0.996612667945949,0.9613108231328231,6.55513858795166
ablation_no_text,2,0.08555567872524261,0.996789473353199,0.9619388134444226,6.092364311218262
ablation_no_text,3,0.0744517497340838,0.9970321541052967,0.9638144455118649,7.121551752090454
ablation_no_text,4,0.06783868918418884,0.9971021125045741,0.9642937815755692,6.246310472488403
ablation_no_text,5,0.06294646796782812,0.9970546802485931,0.9646710084079915,7.678474187850952
ablation_no_text,6,0.05860201370716095,0.9972181773200501,0.9640410863780546,6.413921594619751
ablation_no_text,7,0.05637195134560267,0.9972545423331973,0.9646985836227573,7.218123197555542
ablation_no_text,8,0.05345886180400848,0.9972905978931959,0.965064221401969,7.499054431915283
ablation_no_text,9,0.05230186055501302,0.9973542184996842,0.9660850899884419,6.942343473434448
ablation_no_text,10,0.049956561712423964,0.9974063753450312,0.9659506902483129,6.817314863204956
ablation_no_text,11,0.04814613484938939,0.9973992404935903,0.9661701423369745,7.727946758270264
ablation_no_text,12,0.047228361276785535,0.9973838819121688,0.9667677714663873,7.025611877441406
ablation_no_text,13,0.04623624298969905,0.9974736799891185,0.9674592136344571,7.870114803314209
ablation_no_text,14,0.04565343069632848,0.9974748532744058,0.9666994489283497,7.82131028175354
ablation_no_text,15,0.044808117618163425,0.9975152913643732,0.9661923973015899,7.702520370483398
ablation_no_text,16,0.04359241065979004,0.9975498633019653,0.9681609360023796,7.7542572021484375
ablation_no_text,17,0.04311708847681681,0.9975400215932294,0.9683369062827254,7.818973064422607
ablation_no_text,18,0.04264159243106842,0.9976083487616567,0.9684450138283307,6.355159044265747
ablation_no_text,19,0.041950077984730404,0.9976063303808014,0.9687671956507384,7.379552602767944
ablation_no_text,20,0.04096730522910754,0.9976411596937006,0.969644701281009,7.1018760204315186
