model,epoch,train_loss,val_auc_pr,val_f1,epoch_time_sec
ablation_no_focal,1,0.2502140303293864,0.996945413912932,0.958667307746698,8.30085015296936
ablation_no_focal,2,0.16440137191613516,0.9971714191671059,0.9600375213317812,7.9558587074279785
ablation_no_focal,3,0.1526558720668157,0.9972436044579772,0.959552291169181,8.308452844619751
ablation_no_focal,4,0.14474256076018016,0.9973453326276981,0.9603782869618829,7.95031213760376
ablation_no_focal,5,0.13976894159317016,0.9973828813653892,0.9610644637053087,8.342466831207275
ablation_no_focal,6,0.13570640676816303,0.9974809135731295,0.96009424237962,8.609418153762817
ablation_no_focal,7,0.13142387290000915,0.9974868982814692,0.9586168926627427,8.603420734405518
ablation_no_focal,8,0.12932670345703762,0.99750616388461,0.9605246777351486,8.459341764450073
ablation_no_focal,9,0.1266061147650083,0.9975676939675103,0.963017601549567,8.46303939819336
ablation_no_focal,10,0.12456500398317973,0.9976945017043403,0.9609315325815742,8.714533567428589
ablation_no_focal,11,0.12187357988357544,0.9977218125365355,0.9619980001920719,8.484499454498291
ablation_no_focal,12,0.11987780086199443,0.9977125658753494,0.9619087957080333,8.123040676116943
ablation_no_focal,13,0.11792416042486827,0.9977939171486606,0.9618639038203923,8.344517707824707
ablation_no_focal,14,0.11613841331799825,0.9978538397293263,0.963707746816049,8.51270604133606
ablation_no_focal,15,0.11410751182238262,0.9978581390440289,0.9618037495194374,8.379790544509888
ablation_no_focal,16,0.11219261095523834,0.9979788870847652,0.9616604926052654,7.825482606887817
ablation_no_focal,17,0.11021736172040303,0.9980727953292022,0.9672098915235575,7.866014719009399
ablation_no_focal,18,0.10833775536219278,0.9981466525596627,0.9673726195157576,8.238991975784302
ablation_no_focal,19,0.10481819914182028,0.9982582588400366,0.9685595303572831,8.276095151901245
ablation_no_focal,20,0.10292553083896637,0.9981526661712588,0.9706234676399136,8.047548532485962
