model,epoch,train_loss,val_auc_pr,val_f1,epoch_time_sec
ablation_no_drift,1,0.0987909255941709,0.9967319523280194,0.961848987634264,9.531769514083862
ablation_no_drift,2,0.05862861927350362,0.9969775300217778,0.9636184315648537,9.008797883987427
ablation_no_drift,3,0.05141307551662127,0.9971255862200915,0.9645191771057241,8.199729442596436
ablation_no_drift,4,0.047372898060083386,0.9972747445254612,0.9654921262014854,8.414779663085938
ablation_no_drift,5,0.04407925830284754,0.9973039513515227,0.9659861716420356,8.715709209442139
ablation_no_drift,6,0.04127359087864558,0.997337000018085,0.9659724916529598,8.41709017753601
ablation_no_drift,7,0.03909408300320307,0.9973514768616005,0.9658611179377953,8.40283989906311
ablation_no_drift,8,0.037385415057341255,0.9974560310661436,0.9671842326247674,8.36034893989563
ablation_no_drift,9,0.035935881574948626,0.9975014785688406,0.9672079553423039,8.094078302383423
ablation_no_drift,10,0.034944814358154934,0.9975641366795509,0.968287062438275,8.099051237106323
ablation_no_drift,11,0.03370309549967448,0.9975682817174099,0.9690709200783792,8.522441148757935
ablation_no_drift,12,0.03258498483598232,0.9976500329446777,0.9692305153187252,8.454293251037598
ablation_no_drift,13,0.031911488127708436,0.9976656947123455,0.9680369814598002,8.283970594406128
ablation_no_drift,14,0.031023198920488358,0.9976864894881601,0.9680358716557386,8.300122737884521
ablation_no_drift,15,0.030291128841042517,0.9977172451731556,0.9712220776522813,8.428513526916504
ablation_no_drift,16,0.029775982278585435,0.9977312176673117,0.9697085533608926,8.47912049293518
ablation_no_drift,17,0.02911212584078312,0.9978294995052175,0.9713445995591476,8.332267761230469
ablation_no_drift,18,0.028625295491019886,0.997850771835677,0.9699037205636784,8.467128276824951
ablation_no_drift,19,0.02809090783596039,0.9979708517551429,0.9728647394796157,8.704785346984863
ablation_no_drift,20,0.027754850804805754,0.9980497721426842,0.9728332031292981,8.822520732879639
