model,epoch,train_loss,val_auc_pr,val_f1,epoch_time_sec
edge_tiny_deployment,1,0.030253813148538273,0.9963047380197084,0.9587913300666578,8.084332466125488
edge_tiny_deployment,2,0.015052814710636934,0.996766854500304,0.9614049847512882,8.0221266746521
edge_tiny_deployment,3,0.013416159347693125,0.9969699798070077,0.962811723630408,8.00093674659729
edge_tiny_deployment,4,0.01273848337183396,0.9970937790854062,0.9638979833273723,7.823891639709473
edge_tiny_deployment,5,0.012408672299484412,0.9971596070292461,0.9642334678465556,8.121964693069458
edge_tiny_deployment,6,0.01212892079949379,0.9972502253769697,0.9646856921416115,8.099490404129028
edge_tiny_deployment,7,0.011971820214390754,0.9972781912511806,0.9655100950053993,8.04943323135376
edge_tiny_deployment,8,0.011791347280144691,0.9973126874019975,0.9655369875836247,7.971568584442139
edge_tiny_deployment,9,0.011677785428365072,0.9973569043828594,0.9658620118212451,8.288515329360962
edge_tiny_deployment,10,0.011543695055445035,0.9973973038625041,0.966206030839395,8.059398651123047
edge_tiny_deployment,11,0.01150423263112704,0.9974114174292281,0.9662552708936573,7.972673654556274
edge_tiny_deployment,12,0.011404830806950728,0.9974504573491059,0.9667069818581638,8.0636146068573
edge_tiny_deployment,13,0.01136917376468579,0.9971999109280305,0.9665372303562982,8.006359100341797
edge_tiny_deployment,14,0.011295116947591305,0.9974980241260272,0.9671427473625276,8.063183307647705
edge_tiny_deployment,15,0.011182099615534147,0.997481008246992,0.9670766964570349,8.176950693130493
edge_tiny_deployment,16,0.011169472866753738,0.9975171908148752,0.9678208896513293,8.26972246170044
edge_tiny_deployment,17,0.011141560915112496,0.9975190874813349,0.9672662931288706,8.292988777160645
edge_tiny_deployment,18,0.011120275166630745,0.9975291960137188,0.9677634893859399,8.403937816619873
edge_tiny_deployment,19,0.011103001967072488,0.9975465602134004,0.9669757587430867,7.891117334365845
edge_tiny_deployment,20,0.011008448833227158,0.9975571566764988,0.9670332083468293,6.0223188400268555
