model,epoch,train_loss,val_auc_pr,val_f1,epoch_time_sec
ablation_no_reconstruction,1,0.018591966160635152,0.9968506750317767,0.9628072106784092,8.468485355377197
ablation_no_reconstruction,2,0.012613922920326391,0.9971568842832084,0.9640650667315638,8.345936059951782
ablation_no_reconstruction,3,0.012075338012973467,0.9972491203007847,0.9647377588542675,8.165643215179443
ablation_no_reconstruction,4,0.011752659923334916,0.9973525530919114,0.9653265050491614,8.232229232788086
ablation_no_reconstruction,5,0.011459151094655196,0.997356070001362,0.9655195133200096,8.328590154647827
ablation_no_reconstruction,6,0.011310985098779201,0.9973718583941918,0.9652178241368058,8.42114806175232
ablation_no_reconstruction,7,0.011156391103565692,0.997501559820437,0.9674409435883957,8.314019680023193
ablation_no_reconstruction,8,0.010980122704307238,0.9975395474989475,0.9668888766459148,8.391196489334106
ablation_no_reconstruction,9,0.010880686397353808,0.9975589234376792,0.9673624599896041,8.559319257736206
ablation_no_reconstruction,10,0.010697484165430069,0.9976184726595188,0.9671818292131361,8.092897891998291
ablation_no_reconstruction,11,0.010572694017489752,0.9976179052235727,0.9675473177531418,8.100517272949219
ablation_no_reconstruction,12,0.010492973671853542,0.9977589470510808,0.9701343762425854,8.008006572723389
ablation_no_reconstruction,13,0.010345913920303186,0.9977276581654324,0.9707450180535266,8.320016384124756
ablation_no_reconstruction,14,0.010238346880674362,0.9978280160838618,0.9708435049512589,8.34223222732544
ablation_no_reconstruction,15,0.010055763740340869,0.9976560008588096,0.9675027021034837,8.214019536972046
ablation_no_reconstruction,16,0.009845832546552023,0.9979579290334178,0.9722170303996481,8.170454263687134
ablation_no_reconstruction,17,0.009738957592844964,0.998094330245946,0.9729580573951435,8.356078147888184
ablation_no_reconstruction,18,0.009563779205083847,0.9980806683780492,0.9719546323324042,8.457427740097046
ablation_no_reconstruction,19,0.009389762058854103,0.9982697909532008,0.9736430005072896,8.214699268341064
ablation_no_reconstruction,20,0.009142837116618951,0.9982340479889782,0.972515018814779,8.22289776802063
